n_episodes,n_simulations,t_max,c,gamma,alpha,beta,noise,n_points,final_features,bic,mse
2000,40,15,0.5,0.001,1.0,0.1,0.0,1000,exp(x) + y,-2998.8148934446053,0.6626610485080495
2000,40,15,0.5,0.005,0.5,0.0,0.0,500,exp(x) + y + sin(cos(exp(y))) + exp(cos(x)) + x,-1799.3785099186846,0.6867887899510454
2000,40,15,0.5,0.005,0.5,0.0,0.0,1000,exp(x) + (x * x) + x + (cos(sin(x)) * (cos(sin(y)) * y)) + y,-3500.779446056989,0.7285027571004477
2000,40,15,0.5,0.005,0.5,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
2000,40,15,0.5,0.005,0.5,0.1,0.0,1000,exp(x) + (x * x) + y + x,-3500.779446056989,0.7285027571004477
2000,40,15,0.5,0.005,1.0,0.0,0.0,500,exp(x) + y + cos(y),-1549.5698051497404,0.6376250781909009
2000,40,15,0.5,0.005,1.0,0.0,0.0,1000,exp(x) + (x * x) + y + cos(x) + exp((sin(exp(x)) * (exp((sin(y) * y)) * y))),-3500.779446056989,0.7285027571004477
2000,40,15,0.5,0.005,1.0,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
2000,40,15,0.5,0.005,1.0,0.1,0.0,1000,exp(x) + (x * x) + x,-3500.779446056989,0.7285027571004477
2000,40,15,1.0,0.001,0.5,0.0,0.0,500,exp(x) + exp(cos(x)) + (exp(y) * y) + (sin(sin(cos(x))) * exp((x * y))) + (sin(sin(y)) * cos((exp(exp(x)) * cos(sin(y))))),-1549.5698051497404,0.6376250781909009
2000,40,15,1.0,0.001,0.5,0.0,0.0,1000,exp(x) + sin(y) + cos(sin(y)) + exp(exp(y)),-2998.8148934446053,0.6626610485080495
2000,40,15,1.0,0.001,0.5,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
2000,40,15,1.0,0.001,0.5,0.1,0.0,1000,exp(x) + y,-2998.8148934446053,0.6626610485080495
2000,40,15,1.0,0.001,1.0,0.0,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
2000,40,15,1.0,0.001,1.0,0.0,0.0,1000,exp(x) + cos(y) + y,-2998.8148934446053,0.6626610485080495
2000,40,15,1.0,0.001,1.0,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
2000,40,15,1.0,0.001,1.0,0.1,0.0,1000,exp(x) + y,-2998.8148934446053,0.6626610485080495
2000,40,15,1.0,0.005,0.5,0.0,0.0,500,exp(x) + cos(y) + x + y,-1737.1026740773104,0.6950010933958284
2000,40,15,1.0,0.005,0.5,0.0,0.0,1000,exp(x) + (x * x) + x + sin(sin(sin(sin(y)))),-3500.779446056989,0.7285027571004477
2000,40,15,1.0,0.005,0.5,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
2000,40,15,1.0,0.005,0.5,0.1,0.0,1000,exp(x) + (x * x) + x + y,-3500.779446056989,0.7285027571004477
2000,40,15,1.0,0.005,1.0,0.0,0.0,500,exp(x) + exp(exp(y)) + sin(sin(sin(sin(cos(exp(y)))))) + cos((y * exp(x))) + y,-1549.5698051497404,0.6376250781909009
2000,40,15,1.0,0.005,1.0,0.0,0.0,1000,exp(x) + (x * x) + x + y,-3500.779446056989,0.7285027571004477
2000,40,15,1.0,0.005,1.0,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
2000,40,15,1.0,0.005,1.0,0.1,0.0,1000,exp(x) + (x * x) + y,-3500.779446056989,0.7285027571004477
