config,locked_features,mse,bic,formula
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', 'cos(x)', 'x', '(cos(sin(x)) * y)', '(y * x)']",0.006488993820214759,-5003.109019296505,0.4256 * exp(x) + 2.6663 * y + 0.5301 * cos(x) + 0.5278 * x + -2.7124 * (cos(sin(x)) * y)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(exp(exp(x)))', 'exp((exp((x * exp(y))) * cos(x)))', 'exp(((x * sin(cos(x))) * exp(exp(sin(y)))))', 'y', '(exp(x) * sin(y))', 'exp(exp(exp((cos(cos(sin(cos(x)))) * (cos(x) * y)))))', 'exp((cos((y * y)) * exp((exp(sin(x)) * x))))', 'exp(exp((exp(exp(y)) * y)))', 'exp((exp((x * y)) * exp(y)))', 'exp(exp(exp(sin((exp(cos(cos(y))) * sin(x))))))']",1.2324231762650248,110.70575477902209,0.2586 * y
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', '(y * (exp(exp(cos(y))) * cos(x)))', 'cos(x)', 'exp(y)', '(exp(exp(exp(x))) * sin(y))', '(sin((exp(x) * y)) * exp(cos(x)))', 'cos(exp(exp(y)))', 'y', 'cos((exp(exp(x)) * x))', '(exp(sin(exp(cos(x)))) * sin(exp(y)))']",0.02281668925152585,-3731.908739122972,0.8858 * exp(x) + -0.0751 * (y * (exp(exp(cos(y))) * cos(x))) + 0.8498 * cos(x) + -0.6742 * exp(y) + -0.0615 * (sin((exp(x) * y)) * exp(cos(x))) + 0.0730 * cos(exp(exp(y))) + 1.7114 * y
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(x)']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', '((x * y) * x)', '(x * x)', 'sin(x)', 'cos(y)', 'sin(cos(exp(sin(y))))', '((sin(sin(y)) * exp(sin(cos(exp(sin(x)))))) * x)', '(y * exp(sin(x)))', 'exp(exp(x))']",0.004725640506780263,-2646.303044624348,0.6267 * exp(x) + 0.9679 * ((x * y) * x) + -0.3462 * (x * x) + 0.3445 * sin(x) + 0.3838 * cos(y)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', '((x * x) * y)', '(x * x)', 'cos(exp(cos(y)))', 'y', 'exp(y)', 'x', 'exp(exp(exp(exp(exp(sin(cos(sin(sin(exp(cos(cos(sin(sin(x))))))))))))))', 'cos(x)', 'exp(exp(x))']",0.004370065692513152,-5384.622950423047,0.2472 * exp(x) + 0.9508 * ((x * x) * y) + -0.3129 * cos(exp(cos(y))) + -0.1808 * y + 0.1648 * exp(y) + 0.7200 * x + 0.3017 * cos(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', '((x * x) * y)', '(x * x)', 'x', 'cos(y)', 'y']",0.004871398287369676,-2631.1140897260316,0.6256 * exp(x) + 0.9688 * ((x * x) * y) + -0.3460 * (x * x) + 0.3132 * x + 0.3856 * cos(y)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', '((y * x) * x)', '(x * x)', 'cos(y)', 'x', 'y']",0.004634521452814365,-5339.68355532593,0.6546 * exp(x) + 0.9500 * ((y * x) * x) + -0.3546 * (x * x) + 0.3506 * cos(y) + 0.2706 * x
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', '((x * x) * y)', '(x * x)', '(exp(exp(sin(x))) * (x * y))', 'exp(y)', 'x']",0.008187027875908196,-2383.9583475520394,0.9315 * exp(x) + 0.9659 * ((x * x) * y) + -0.4804 * (x * x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(cos(x) * y)', '(x * x)', 'cos(exp(y))', 'x']",0.005016994695654414,-5260.385414360054,0.8896 * exp(x) + 2.2372 * y + -2.0469 * (cos(x) * y) + -0.5012 * (x * x) + 0.2162 * cos(exp(y))
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', 'cos(y)', 'cos((exp(cos(exp(y))) * cos(x)))', 'x', '(cos(x) * y)', '(x * y)']",0.006509122674853093,-2479.9876502149446,0.5829 * exp(x) + 1.9544 * y + 0.3906 * cos(y) + -0.3934 * cos((exp(cos(exp(y))) * cos(x))) + 0.3644 * x + -1.5260 * (cos(x) * y)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '((cos(exp(y)) * x) * sin(x))', '(cos(y) * (x * (sin((sin(y) * x)) * y)))', 'cos(exp(y))', 'exp(y)', 'sin(x)', 'x', 'cos(x)']",0.004491069060279011,-5350.402465279275,1.1019 * exp(x) + 0.2836 * y + -1.1900 * ((cos(exp(y)) * x) * sin(x)) + -1.2117 * (cos(y) * (x * (sin((sin(y) * x)) * y))) + 0.1319 * cos(exp(y)) + -0.1598 * exp(y) + 1.2761 * sin(x) + -1.3742 * x
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)', 'sin(sin((y * sin(x))))', '(cos(exp(exp(y))) * cos(y))', 'cos(exp(exp(y)))']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(x)', 'exp(exp(exp(exp(x))))']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', 'cos(y)', 'x', 'exp(((x * x) * y))']",0.006307576973476582,-5038.372652923396,-0.2986 * exp(x) + 0.4724 * cos(y) + 1.3264 * x + 0.8704 * exp(((x * x) * y))
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(exp(exp(exp(cos(cos(cos(exp(y))))))))', 'cos(((cos(x) * sin(cos(y))) * x))', 'exp(cos(x))', 'exp((y * x))']",0.37368519353542407,-485.95617416901587,0.9858 * cos(((cos(x) * sin(cos(y))) * x))
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos((sin(x) * y))', 'exp(cos(y))', 'exp(exp(sin(cos(cos(sin(cos(x)))))))']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(y)']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', 'cos(sin(x))', 'x', '(y * cos(x))', 'cos(y)', 'cos(cos(sin(exp(cos(exp(exp(cos(y))))))))', 'cos((y * sin(exp(x))))', 'cos(sin(exp(exp(x))))', 'sin(exp(cos((exp(cos(x)) * y))))']",0.004627956874537669,-2650.532245446495,0.2414 * exp(x) + 2.0133 * y + 0.3993 * cos(sin(x)) + 0.7356 * x + -1.9996 * (y * cos(x)) + 0.3731 * cos(y)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(cos(x) * y)', '(x * (x * exp(y)))', 'cos(exp(exp(x)))', '(x * exp(y))', '(sin(x) * sin(sin(x)))', 'cos(exp(x))', 'x', '(x * sin(sin(y)))']",0.005243711270338814,-5202.371486694184,0.5454 * exp(x) + 3.0074 * y + -3.0251 * (cos(x) * y) + -0.4052 * (x * (x * exp(y))) + 0.8767 * (sin(x) * sin(sin(x))) + 0.7260 * cos(exp(x)) + 1.0644 * x
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', '(x * (y * sin(x)))', '(x * x)', 'y']",0.008089421199125238,-2389.9552235531214,0.9317 * exp(x) + 1.0853 * (x * (y * sin(x))) + -0.4810 * (x * x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(y * cos(x))', '(x * (exp(y) * x))', 'x', 'cos(cos(cos(y)))', '(y * x)', 'exp(exp(x))', 'sin(x)']",0.004437323274561484,-5376.257418750698,0.3726 * exp(x) + 2.4318 * y + -2.4398 * (y * cos(x)) + -0.1658 * (x * (exp(y) * x)) + 0.5814 * x + 0.7290 * cos(cos(cos(y)))
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', 'exp(exp(y))', 'cos(sin(y))', '(exp((x * y)) * x)', '(x * y)', 'exp(exp(sin(y)))']",0.010484610401999326,-2254.0649540925474,0.1671 * exp(x) + 0.0739 * y + 0.8614 * cos(sin(y)) + 0.7435 * (exp((x * y)) * x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '((sin(cos(sin(y))) * (x * cos(exp(y)))) * x)', 'cos(exp((y * y)))', 'x', 'cos(cos((cos(sin(y)) * x)))']",0.0055666001186943075,-5156.432026629657,-0.7618 * exp(x) + -1.4714 * ((sin(cos(sin(y))) * (x * cos(exp(y)))) * x) + 0.1321 * cos(exp((y * y))) + 1.8361 * x + 3.0792 * cos(cos((cos(sin(y)) * x)))
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', 'cos(x)', 'x', '(cos(x) * y)', 'cos(y)', 'exp(cos(y))', 'sin(exp(y))', 'exp(exp(x))', '(x * x)']",0.004620775569648311,-2651.308709289069,0.2828 * exp(x) + 2.0139 * y + 0.3545 * cos(x) + 0.6901 * x + -2.0004 * (cos(x) * y) + 0.3728 * cos(y)
